sample_id,image_path,ground_truth,stay_positive_prediction,stay_positive_score,official_fsd_prediction,official_fsd_score,fsd_finetune_v1_prediction,fsd_finetune_v1_score,fsd_finetune_v2_prediction,fsd_finetune_v2_score
adm_auto_0001,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_153.PNG,fake,real,0.44916382112305414,fake,0.763671875,fake,0.7783203125,fake,0.65673828125
adm_auto_0002,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_174.PNG,fake,real,0.44455618831720967,fake,0.50537109375,fake,0.537109375,real,0.399169921875
adm_auto_0003,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_34.PNG,fake,real,0.4201140705222974,fake,0.865234375,fake,0.74853515625,fake,0.91015625
adm_auto_0004,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_7.PNG,fake,real,0.41553325677724523,fake,0.87353515625,fake,0.8046875,fake,0.88671875
adm_auto_0005,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_85.PNG,fake,real,0.4188036882710579,fake,0.87060546875,fake,0.7919921875,fake,0.951171875
adm_auto_0006,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_91.PNG,fake,real,0.442216150506215,fake,0.6025390625,real,0.443603515625,real,0.466796875
adm_auto_0007,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_153.PNG,fake,real,0.3858134421507611,real,0.281005859375,real,0.347412109375,real,0.234375
adm_auto_0008,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_174.PNG,fake,real,0.39161858593135496,real,0.2197265625,real,0.216552734375,real,0.2117919921875
adm_auto_0009,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_34.PNG,fake,real,0.40699261795194336,real,0.375244140625,real,0.438232421875,real,0.445556640625
adm_auto_0010,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_7.PNG,fake,real,0.390533873990149,real,0.2454833984375,real,0.355224609375,real,0.241455078125
adm_auto_0011,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_85.PNG,fake,real,0.3974125715934481,real,0.060089111328125,real,0.12548828125,real,0.0838623046875
adm_auto_0012,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_91.PNG,fake,real,0.4054928746189365,real,0.116943359375,real,0.11395263671875,real,0.08477783203125
adm_auto_0013,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_153.PNG,fake,real,0.4312876209073073,fake,0.9033203125,fake,0.81103515625,fake,0.90478515625
adm_auto_0014,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_174.PNG,fake,real,0.4059135841463355,real,0.486328125,real,0.408447265625,fake,0.53271484375
adm_auto_0015,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_34.PNG,fake,real,0.39056711597587873,real,0.2281494140625,real,0.2254638671875,real,0.322509765625
adm_auto_0016,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_7.PNG,fake,real,0.3980816355952472,real,0.2193603515625,real,0.329833984375,real,0.32177734375
adm_auto_0017,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_85.PNG,fake,real,0.3949861761281437,real,0.2203369140625,real,0.325439453125,real,0.416748046875
adm_auto_0018,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_91.PNG,fake,real,0.37188003724028845,real,0.26513671875,real,0.257568359375,real,0.400634765625
